DATAFLOW,LAST UPDATE,freq,c_resid,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2017,8142814,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2018,8251783,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2019,8131800,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2020,5335996,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2021,8172595,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2022,8506119,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2023,8016146,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Belgium,2024,7906071,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2012,13792828,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2013,14706418,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2014,14214770,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2015,13660772,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2016,16638478,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2017,17136282,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2018,17672414,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2019,17697977,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2020,6294974,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2021,10745190,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2022,14309503,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2023,15597432,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Bulgaria,2024,16242957,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2016,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2017,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2018,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2019,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2021,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2022,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2023,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Switzerland,2024,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2012,14576573,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2013,14048528,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2014,13715342,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2015,12922422,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2016,14863029,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2017,16262242,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2018,16632121,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2019,17008099,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2020,3425406,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2021,9347922,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2022,13770590,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2023,15121071,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Cyprus,2024,17351212,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2012,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2013,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2014,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2015,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2016,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2017,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2018,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2019,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2020,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2021,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2022,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2023,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Czechia,2024,0,,
ESTAT:TOUR_OCC_NINATDC(1.0),23/04/26 23:00:00,Annual,Total,Coastal areas,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Number,Germany,2012,60749736,,
